Name of College	Type	SM (State merit)	EZ (Ezhava)	MU (Muslim)	LA (Latin Catholic and Anglo Indian)	BH (Other Backward Hindu)	DV (Dheevara and related communities)	VK (vishwakarma and related communities)	BX (Other backward X'ian)	KN (Kusavan related communities)	KU (Kudumi)	SC (Scheduled caste)	ST (Scheduled tribe)	EW (Economically Weaker Section)	Special Categories	Course
College of Engineering, Cherthala	N	25709	29975	28069	28239	27309	34713	29988	-	-	-	41937	-	36823	FW:21572, MG:49623	AD:Artificial Intelligence and Data Science
College of Engineering, Karunagappally, Kollam	N	29627	35356	34896	43556	35306	-	-	-	-	35938	50424	-	46645	FW:22649, MG:50314	AD:Artificial Intelligence and Data Science
College of Engineering Perumon, Kollam	N	19941	28810	23749	24409	24877	-	24228	40600	-	-	50454	-	28161		AD:Artificial Intelligence and Data Science
University College of Engineering,Thodupuzha	N	37747	41358	44565	46624	51921	44517	39257	-	-	-	50598	-	48443	FW:20112	AD:Artificial Intelligence and Data Science
Al-Ameen Engineering College, Palakkad	S	52144	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Amal Jyothi College of Engineering, Kottayam	S	25824	29033	30139	49144	26328	-	37980	-	-	-	-	-	-	FW:17967	AD:Artificial Intelligence and Data Science
AWH Engineering College, Kozhikkode	S	49053	51771	49629	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Eranad Knowledge City Technical Campus, Malappuram	S	47485	-	50439	-	-	-	-	-	-	-	-	-	-	FW:34325	AD:Artificial Intelligence and Data Science
Gregorian Institute of Technology,Kanjirampara,Kott ayam	S	49938	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Holy Grace Academy of Engineering, Thrissur	S	48855	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Ilahia College of Engineering and Technology, Ernakulam	S	38426	45641	40096	-	-	-	-	-	-	-	-	-	-	FW:15440	AD:Artificial Intelligence and Data Science
Jyothi Engineering College, Thrissur	S	28608	36703	37395	-	30241	-	30255	-	-	-	50466	-	-	FW:18659	AD:Artificial Intelligence and Data Science
K M E A Engineering College, Cochin	S	45294	-	45575	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
KMCT Institute of Technology and Management,Kuttipuram,Mala ppuram	S	42288	-	46286	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
KMCT Institute of Emerging Technology and Management, Mukkam, Kozhikode	S	35071	47013	39507	-	-	48483	-	-	-	-	-	-	-	FW:20475	AD:Artificial Intelligence and Data Science
M E A Engineering College, Vengoor	S	30033	51158	30086	-	-	-	-	-	-	-	-	-	-	FW:18954	AD:Artificial Intelligence and Data Science
MES College of Engineering and Technology, Ernakulam	S	44183	49715	48238	51757	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
M E S College of Engineering, Kuttippuram	S	21624	36915	22042	-	-	-	-	-	-	-	-	-	-	FW:12492	AD:Artificial Intelligence and Data Science
Mets School of Engineering, Thrissur	S	38706	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Muthoot Institute of Technology and Science,Ernakulam	S	10275	13334	12006	23563	18500	-	-	-	-	-	46281	-	21471	FW:7945	AD:Artificial Intelligence and Data Science
Nirmala College of Engineering Technology and Management, Thirissur	S	52283	-	-	-	-	-	-	-	-	-	-	-	-	FW:39556	AD:Artificial Intelligence and Data Science
P A Aziz College of Engineering and Technology, Thiruvananthapuram	S	40853	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Royal College of Engineering and Technology, Thrissur	S	47365	-	-	-	-	-	-	-	-	-	-	-	-	FW:35357	AD:Artificial Intelligence and Data Science
Rajagiri School of Engineering and Technology, Ernakulam	S	8240	11332	9309	-	-	18065	9646	-	31702	-	49702	-	-	FW:8967	AD:Artificial Intelligence and Data Science
St Josephs College of Engineering and Technology, Palai	S	23849	30805	37045	29789	31327	-	32777	-	-	-	46926	-	-	FW:21396	AD:Artificial Intelligence and Data Science
Sree Narayana Guru College of Engineering and Technology, Kannur	S	39956	44010	42683	-	50573	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Sreepathy Institute of Management and Technology, Palakkad	S	52180	-	-	-	-	-	-	-	-	-	-	-	-	FW:19347	AD:Artificial Intelligence and Data Science
TOMS College of Engineering,Kottayam	S	51060	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Viswajyothi College of Engineering and Technology, Ernakulam	S	24176	35040	24607	-	35122	-	-	-	-	-	25620	-	-	FW:16277	AD:Artificial Intelligence and Data Science
Vimal Jyothi Engineering College, Kannur	S	30728	36093	50899	-	33866	-	46081	-	-	-	40174	-	-	FW:18622	AD:Artificial Intelligence and Data Science
Government Engineering College, Kozhikkode	G	10662	16547	13670	51257	16000	28588	15247	43347	50197	-	48917	-	31395	FW:10041, SD:35925	AE:Applied Electronics & Instrumentation
College of Engineering, Thiruvananthapuram	G	1830	2576	2250	3393	2129	5658	2708	8719	18288	-	26436	41528	3782	FW:1512	AE:Applied Electronics & Instrumentation
Mount Zion College of Engineering, Pathanamthitta	S	52432	-	-	-	-	-	-	-	-	-	-	-	-		AE:Applied Electronics & Instrumentation
Rajagiri School of Engineering and Technology, Ernakulam	S	19671	23942	23403	-	-	47779	42037	-	-	-	44070	-	-	FW:17994	AE:Applied Electronics & Instrumentation
Kelappaji College of Agricultural Engineering and Technology, Tavanur	G	11325	14669	13345	20327	15983	39255	13601	-	-	-	25835	23836	30932	LG:38147, PI:37	AG:B.Tech. (Agrl. Engg.)
Mar Athanasius College of Engineering, Kothamangalam	G	5197	5578	6033	5384	7116	20216	7110	-	24102	32395	24347	48942	-	FW:4238	AH:Artificial Intelligence and Machine Learning
Al-Azhar College of Engineering and Technology, Idukki	S	52119	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Ahalia School of Engineering and Technology, Palakkad	S	47660	51110	51196	-	51178	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
MGM College of Engineering and Pharmaceutical Sciences, Valanchery	S	51780	-	-	-	-	-	-	-	-	-	-	-	-	FW:47531	AH:Artificial Intelligence and Machine Learning
College of Engineering and Technology, Payyanur	S	52329	-	-	-	-	-	-	-	-	-	-	-	-	FW:41589	AH:Artificial Intelligence and Machine Learning
Gregorian Institute of Technology,Kanjirampara,Kott ayam	S	51672	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Heera College of Engineering and Technology, Thiruvananthapuram	S	51908	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Indira Gandhi Institute of Engineering and Technology, Ernakulam	S	45421	45512	-	-	-	-	-	-	-	-	45846	-	-		AH:Artificial Intelligence and Machine Learning
Jai Bharath College of Management and Engineering Technology, Ernakulam	S	48815	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Marian Engineering College, Thiruvananthapuram	S	28369	30974	34652	-	-	-	40881	-	-	-	49870	-	-	FW:22328	AH:Artificial Intelligence and Machine Learning
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	40320	47063	43514	-	-	-	-	-	-	-	52006	-	51101		AH:Artificial Intelligence and Machine Learning
Malabar College of Engineering and Technology, Thrissur	S	47998	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
MGM College of Engineering & Technology, Ernakulam	S	52152	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
ACE College Of Engineering, Thiruvananthapuram	S	40120	47358	48825	43721	45947	-	-	-	-	-	51357	-	-	FW:29981	AH:Artificial Intelligence and Machine Learning
Mangalam College of Engineering, Kottayam	S	52321	-	-	-	-	-	-	-	-	-	-	-	-	FW:37588	AH:Artificial Intelligence and Machine Learning
Mount Zion College of Engineering, Pathanamthitta	S	46345	-	-	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	35067	36875	41296	-	-	-	44900	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Vidya Academy of Science and Technology, Thrissur	S	27473	32284	40391	-	30921	-	-	-	-	-	51909	-	47289	FW:14189	AH:Artificial Intelligence and Machine Learning
Mahaguru Institute of Technology, Mavelikkara, Alappuzha	S	49582	-	-	-	-	-	-	-	-	-	-	-	-	FW:29311	AH:Artificial Intelligence and Machine Learning
Baselios Mathews II College of Engineering, Kollam	S	-	-	-	-	-	-	-	-	-	-	-	-	-	FW:25719	AI:Artificial Intelligence
Ilahia College of Engineering and Technology, Ernakulam	S	51703	-	-	-	-	-	-	-	-	-	-	-	-		AI:Artificial Intelligence
Jawaharlal College of Engineering and Technology, Palakkad	S	49066	-	51104	-	-	-	-	-	-	-	52472	-	-	FW:29527	AI:Artificial Intelligence
P A Aziz College of Engineering and Technology, Thiruvananthapuram	S	51882	-	-	-	-	-	-	-	-	-	52483	-	-		AI:Artificial Intelligence
St Thomas Colllege of Engineering and Technology, Alappuzha	S	52277	-	-	-	-	-	-	-	-	-	-	-	-		AI:Artificial Intelligence
Jawaharlal College of Engineering and Technology, Palakkad	S	35144	43849	39565	-	35666	47641	35394	-	-	-	52380	-	36874	FW:12334	AO:Aeronautical Engineering
ACE College Of Engineering, Thiruvananthapuram	S	27617	31978	36294	39397	28609	40867	-	-	-	-	37963	-	-	FW:20556	AO:Aeronautical Engineering
Mount Zion College of Engineering, Pathanamthitta	S	52128	-	-	-	-	-	-	-	-	-	-	-	-		AO:Aeronautical Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	39046	45951	45432	44362	45228	51583	47436	-	-	-	49707	-	51262	FW:24339	AO:Aeronautical Engineering
TOMS College of Engineering,Kottayam	S	52263	-	-	-	-	-	-	-	-	-	-	-	-		AO:Aeronautical Engineering
Al-Azhar College of Engineering and Technology, Idukki	S	51809	-	-	-	-	-	-	-	-	-	-	-	-		AU:Automobile Engineering
Kottayam Institute of Technology and Science, Kottayam	S	51562	-	-	-	-	-	-	-	-	-	-	-	-		AU:Automobile Engineering
KMCT College of Engineering, Kozhikode	S	50552	-	-	-	-	-	-	-	-	-	-	-	-		AU:Automobile Engineering
Malabar College of Engineering and Technology, Thrissur	S	49818	-	-	-	-	-	-	-	-	-	-	-	-		AU:Automobile Engineering
SCMS School of Engineering and Technology, Ernakulam	S	41270	-	-	-	-	-	-	-	-	-	50590	-	-	FW:19849	AU:Automobile Engineering
S C T College of Engineering, Thiruvananthapuram	N	9220	18104	15654	22484	9422	-	-	19405	-	-	33380	-	15803	FW:7421, MG:22864	BB:Bio Technology and Biochemical Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	50206	-	-	-	-	-	-	-	-	-	-	-	-		BB:Bio Technology and Biochemical Engineering
Sree Buddha College of Engineering, Alappuzha	S	46098	-	-	-	-	-	-	-	-	-	52420	-	-		BB:Bio Technology and Biochemical Engineering
Vimal Jyothi Engineering College, Kannur	S	30717	44716	36888	-	-	-	-	-	-	-	-	-	-		AH:Artificial Intelligence and Machine Learning
Al-Azhar College of Engineering and Technology, Idukki	S	43379	-	-	-	-	-	-	-	-	-	-	-	-		BM:Bio Medical Engineering
Ilahia College of Engineering and Technology, Ernakulam	S	46132	-	46387	-	-	-	-	-	-	-	-	-	-		BM:Bio Medical Engineering
KMCT College of Engineering for Women, Kozhikode	S	44258	-	51838	-	-	-	-	-	-	-	52271	50696	49368		BM:Bio Medical Engineering
Musaliar College Of Engineering, Thiruvananthapuram	S	49767	-	-	-	-	-	-	-	-	-	-	-	-		BM:Bio Medical Engineering
Malabar College of Engineering and Technology, Thrissur	S	51623	-	-	-	-	-	-	-	-	-	-	-	-		BM:Bio Medical Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	52003	-	-	-	-	-	-	-	-	-	-	-	-		BM:Bio Medical Engineering
Sahrdaya College of Engineering and Technology, Thrissur	S	26561	48585	30616	36791	38477	-	-	-	-	-	52436	-	-	FW:18587	BM:Bio Medical Engineering
T K M Institute of Technology, Kollam	S	25944	30779	30305	26485	-	-	-	-	-	-	50063	-	-	FW:12596	BM:Bio Medical Engineering
Mets School of Engineering, Thrissur	S	42518	47668	51585	-	-	-	-	-	46029	-	44564	-	-		BT:Bio Technology
Sahrdaya College of Engineering and Technology, Thrissur	S	29228	31927	29415	-	34599	-	29890	-	-	-	43242	-	-	FW:13723	BT:Bio Technology
Government Engineering College, Thrissur	G	7106	8792	8226	17324	8668	15698	9554	17807	-	27031	42784	52394	19524	PD:52317	AH:Artificial Intelligence and Machine Learning
Government Engineering College, Kozhikkode	G	12316	17011	15664	27785	20053	33855	14363	-	-	-	41716	47656	21434	FW:10134	CE:Civil Engineering
Government College of Engineering, Kannur	G	12121	14977	13984	32538	14628	33739	14216	14752	33045	-	35616	32027	20498	FW:6079	CE:Civil Engineering
Government Rajiv Gandhi Institute of Technology, Kottayam	G	12013	12624	13268	20942	15366	36539	14066	-	41184	-	38334	-	16898	CC:43, FW:9770	CE:Civil Engineering
Mar Athanasius College of Engineering, Kothamangalam	G	12288	14539	14835	20419	17808	41057	14984	17628	-	-	40474	-	14293	FW:10438	CE:Civil Engineering
N S S College of Engineering, Palakkad	G	12140	16842	16170	30397	18048	46722	17387	39727	38279	43220	40050	-	22425	FW:11089	CE:Civil Engineering
Government Engineering College, Palakkad	G	11874	17155	15901	46679	18626	51160	18006	41776	-	45766	43547	52466	29049	FW:12504	CE:Civil Engineering
Government Engineering College, Thrissur	G	8118	9822	9430	18715	9387	25639	9213	12992	33250	23355	25593	44321	14038	FW:6348, SD:40153, XS:10461	CE:Civil Engineering
T K M College of Engineering, Kollam	G	9374	10098	9912	13629	10736	28497	10519	-	40778	25934	28007	51108	-	FW:7214, SD:15180	CE:Civil Engineering
Government Engineering College Barton Hill, Thiruvananthapuram	G	10740	11954	12402	17338	12622	19332	12365	11617	-	-	30443	51565	14633	FW:9622	CE:Civil Engineering
College of Engineering, Thiruvananthapuram	G	4877	6163	5649	10335	5587	13106	5244	8540	15435	36210	19853	47059	10702	CC:21, FW:3341, PT:25, RP:6782, SD:11211, XS:8408	CE:Civil Engineering
College of Engineering of Aranmula, Pathanamthitta	N	49233	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
College of Engineering Muttathara, Thiruvananthapuram	N	39898	49518	50772	43666	42634	-	46078	-	-	-	52399	-	52158		CE:Civil Engineering
College of Engineering Kidangoor, KOTTAYAM	N	39666	45503	51773	-	42959	-	52369	51888	-	-	52200	-	-		CE:Civil Engineering
LBS College of Engineering, Kasaragod	N	35118	41189	39778	-	36650	-	-	-	-	-	50776	-	-	FW:25190, MG:51334	CE:Civil Engineering
LBS Institute of Technology for Women, Thiruvananthapuram	N	18772	22695	27681	27872	25554	-	-	22632	-	-	50835	-	36647	FW:15370, MG:42869	CE:Civil Engineering
College of Engineering Pathanapuram, Kollam	N	52440	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
College of Engineering and Management Punnnapra	N	49916	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
College of Engineering, Trikaripur	N	41689	47022	47721	-	43211	-	47928	-	50428	-	43003	-	-	FW:23114	CE:Civil Engineering
College of Engineering,Thalassery, Kannur	N	30132	35080	32410	50507	33638	-	31407	-	-	-	52424	-	50959	FW:23561	CE:Civil Engineering
College of Engineering, Vadakara	N	40705	46097	48184	-	44237	-	49560	-	-	-	52341	-	47189		CE:Civil Engineering
Al-Azhar College of Engineering and Technology, Idukki	S	50533	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Albertian Institute of Science and Technology, Kochi	S	51502	-	-	-	-	-	-	-	-	-	-	-	-	FW:50284	CE:Civil Engineering
Amal Jyothi College of Engineering, Kottayam	S	41431	45679	-	51388	-	-	-	-	-	-	52121	-	-		CE:Civil Engineering
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	49100	-	-	49693	-	-	49756	-	-	-	49438	-	-		CE:Civil Engineering
Ahalia School of Engineering and Technology, Palakkad	S	51361	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
AWH Engineering College, Kozhikkode	S	52229	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Bishop Jerome Institute, Kollam	S	51843	-	-	-	-	-	-	-	-	-	-	-	-	FW:27637	CE:Civil Engineering
Baselios Mathews II College of Engineering, Kollam	S	52126	-	-	-	-	-	-	-	-	-	-	-	-	FW:21568	CE:Civil Engineering
Christ College of Engineering, Thrissur	S	37808	48286	49306	-	-	-	-	-	-	-	47533	-	-	FW:28913	CE:Civil Engineering
College of Engineering and Technology, Payyanur	S	25652	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Christ Knowledge City, Ernakulam	S	50131	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Carmel College of Engineering and Technology,Alappuzha	S	50900	-	-	-	-	50926	-	-	-	-	-	-	-	FW:40820	CE:Civil Engineering
M. Dasan Institute of Technology, Kozhikode	S	48371	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Eranad Knowledge City Technical Campus, Malappuram	S	49173	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Federal Institute of Science and Technology, Ernakulam	S	37471	44986	40264	43164	44832	-	38694	-	-	-	-	-	-	FW:32342	CE:Civil Engineering
Heera College of Engineering and Technology, Thiruvananthapuram	S	49241	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Ilahia College of Engineering and Technology, Ernakulam	S	47074	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
I E S College of Engineering, Thrissur	S	44462	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Jawaharlal College of Engineering and Technology, Palakkad	S	52285	-	-	-	-	-	-	-	-	-	-	-	-	FW:42536	CE:Civil Engineering
Jyothi Engineering College, Thrissur	S	39457	43047	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
John Cox Memorial C S I Institute of Technology, Thiruvananthapuram	S	48650	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
KMCT College of Engineering, Kozhikode	S	51791	-	51918	-	-	-	-	-	-	-	52359	-	-		CE:Civil Engineering
K M E A Engineering College, Cochin	S	51380	-	-	-	-	-	-	-	-	-	-	-	-	FW:46247	CE:Civil Engineering
KMCT College of Engineering for Women, Kozhikode	S	51811	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Lourdes Matha College of Science and Technology, Thiruvananthapuram	S	52388	-	-	-	-	-	-	-	-	-	-	-	-	FW:42381	CE:Civil Engineering
Mar Baselios Christian College of Engineering and Technology,Idukki	S	51472	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Mar Baselios Institute of Technology and Science, Ernakulam	S	47896	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	41619	50962	44942	49714	42087	-	-	41859	-	-	52452	-	-	FW:31824	CE:Civil Engineering
Musaliar College Of Engineering, Thiruvananthapuram	S	47048	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Marian Engineering College, Thiruvananthapuram	S	47905	48165	-	49871	48036	-	-	52348	-	-	51551	-	-	FW:41621	CE:Civil Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	49637	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
M E A Engineering College, Vengoor	S	37044	-	39531	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
MES College of Engineering and Technology, Ernakulam	S	43940	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
MES Institute of Technology and Management, Kollam	S	52408	-	-	-	-	-	-	-	-	-	-	-	-	FW:35207	CE:Civil Engineering
M E S College of Engineering, Kuttippuram	S	40908	51450	42319	-	50431	-	-	-	52047	-	49083	-	-	FW:27332	CE:Civil Engineering
Mets School of Engineering, Thrissur	S	46470	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Saintgits College of Engineering, Kottayam	S	47980	-	-	47997	-	-	-	-	-	-	51814	-	-		CE:Civil Engineering
ACE College Of Engineering, Thiruvananthapuram	S	51537	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Mangalam College of Engineering, Kottayam	S	50702	-	-	-	-	-	-	-	-	-	-	-	-	FW:41989	CE:Civil Engineering
Malabar Institute of Technology, Kannur	S	39629	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Muthoot Institute of Technology and Science,Ernakulam	S	26072	36411	28943	27890	28753	-	-	-	-	-	51967	-	-	FW:21587	CE:Civil Engineering
Mount Zion College of Engineering, Pathanamthitta	S	52252	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Providence College of Engineering, Chengannur	S	48749	-	-	-	-	-	52332	-	-	-	-	-	-		CE:Civil Engineering
Royal College of Engineering and Technology, Thrissur	S	24954	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Rajagiri School of Engineering and Technology, Ernakulam	S	24372	27776	27682	-	28022	-	28600	-	-	-	52096	-	-	FW:16332	CE:Civil Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	48207	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Sree Buddha College of Engineering, Alappuzha	S	48595	-	-	-	-	-	-	-	-	-	-	-	-	FW:29116	CE:Civil Engineering
SCMS School of Engineering and Technology, Ernakulam	S	41863	46472	48400	-	46895	-	-	-	-	-	50683	-	47449		CE:Civil Engineering
Sahrdaya College of Engineering and Technology, Thrissur	S	38609	49973	-	-	40516	-	-	-	-	-	49129	-	-		CE:Civil Engineering
Sarabhai Institute of Science and Technology, Thiruvananthapuram	S	47676	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
St Josephs College of Engineering and Technology, Palai	S	52286	-	-	-	-	-	-	-	-	-	-	-	-	FW:36847	CE:Civil Engineering
Sree Narayana Guru College of Engineering and Technology, Kannur	S	49482	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	45825	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
SNM Institute of Management and Technology, Ernakulam	S	42763	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Sree Narayana Institute of Technology, Adoor	S	49810	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
St. Thomas Institute For Science and Technology, Thiruvananthapuram	S	48067	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
St.Thomas College of Engineering and Technology,Kannur	S	51993	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
TOMS College of Engineering,Kottayam	S	51293	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Trinity College of Engineering, Thiruvananthapuram	S	48120	-	-	-	-	-	-	-	-	-	-	-	52262	FW:23692	CE:Civil Engineering
Travancore Engineering College, Kollam	S	46238	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
T K M Institute of Technology, Kollam	S	27447	39266	34526	-	-	-	-	-	-	-	52427	-	-	FW:12562	CE:Civil Engineering
Toc H Institute of Science and Technology, Ernakulam	S	50944	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
UKF College of Engineering and Technology, Kollam	S	38855	-	-	-	-	-	-	-	-	-	-	-	-	FW:50785	CE:Civil Engineering
Universal Engineering College, Thrissur	S	48960	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Vidya Academy of Science and Technology, Thiruvananthapuram	S	51818	-	-	-	-	-	-	-	-	-	-	-	-	FW:19157	CE:Civil Engineering
Vidya Academy of Science and Technology, Thrissur	S	44508	50562	51979	-	45610	-	-	-	-	-	49963	-	50470	FW:23668	CE:Civil Engineering
VISAT Engineering College, Ernakulam	S	51080	-	-	-	-	-	-	-	-	-	-	-	-	FW:44266	CE:Civil Engineering
Viswajyothi College of Engineering and Technology, Ernakulam	S	45627	48192	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Valia Koonambaikulathamma College of Engineering and Technology, Parippally	S	51318	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Vimal Jyothi Engineering College, Kannur	S	36084	48703	44801	-	37104	-	-	-	-	-	52000	-	-	FW:23220, XS:40218	CE:Civil Engineering
Mahaguru Institute of Technology, Mavelikkara, Alappuzha	S	-	-	-	-	-	-	-	-	-	-	-	-	-	FW:21253	CE:Civil Engineering
Younus College of Engineering and Technology, Kollam	S	36930	-	-	-	-	-	-	-	-	-	-	-	-		CE:Civil Engineering
Government Engineering College, Kozhikkode	G	8027	9138	8415	10177	9190	19436	11599	-	-	-	34820	50479	12820	FW:5824	CG:Computer Science & Design
Federal Institute of Science and Technology, Ernakulam	S	12645	17049	13541	29763	15000	-	-	-	24157	-	51879	-	24994	FW:10548	CG:Computer Science & Design
Viswajyothi College of Engineering and Technology, Ernakulam	S	27027	34521	31089	37358	33242	-	-	-	-	-	-	-	-	FW:26228	CG:Computer Science & Design
Vimal Jyothi Engineering College, Kannur	S	36208	36544	38307	-	-	-	52313	-	-	-	49181	-	-	FW:30037	CG:Computer Science & Design
Government Engineering College, Kozhikkode	G	7778	11669	10233	22031	11825	14798	13567	-	-	-	35028	51756	19054	FW:7715	CH:Chemical Engineering
Government Engineering College, Thrissur	G	5000	6305	5790	16058	6528	9128	8783	15285	-	25392	23161	38310	9968	CC:49, FW:2850	CH:Chemical Engineering
T K M College of Engineering, Kollam	G	6791	7329	6939	17336	6899	9471	8887	-	-	-	24452	-	-	FW:5127, RP:11743	CH:Chemical Engineering
Amal Jyothi College of Engineering, Kottayam	S	23475	43072	33644	-	48725	42172	-	-	-	-	51173	-	-		CH:Chemical Engineering
Saintgits College of Engineering, Kottayam	S	24081	32829	30936	41352	34818	-	-	42174	-	-	45784	-	-	FW:15547	CH:Chemical Engineering
Mangalam College of Engineering, Kottayam	S	44440	-	51184	-	-	-	-	-	-	-	-	-	-	FW:21060	CH:Chemical Engineering
TOMS College of Engineering,Kottayam	S	52256	-	-	-	-	-	-	-	-	-	-	-	-		CH:Chemical Engineering
College of Engineering, Attingal	N	21463	24930	24750	33423	24004	45562	-	41214	-	-	45293	-	28128	FW:11024, MG:31284	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
College of Engineering,Kottarakkara, Kollam	N	30803	36211	34945	43491	35573	-	36620	-	-	-	51007	-	47146	FW:19292, MG:43421	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
College of Engineering,Chengannoor	N	10282	12413	11340	25148	13167	32031	-	-	-	-	47601	-	15958	MG:17228	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
S C T College of Engineering, Thiruvananthapuram	N	5825	6148	6285	-	-	11921	7730	7044	38100	35263	23972	-	9873	FW:5206, MG:8405	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Albertian Institute of Science and Technology, Kochi	S	34308	41759	38882	35660	51202	-	-	-	-	-	51264	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Rajadhani Institute of Science and Technology, Palakkad	S	51509	-	-	-	-	-	-	-	-	-	-	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
John Cox Memorial C S I Institute of Technology, Thiruvananthapuram	S	45755	46199	47710	-	46168	-	-	-	-	-	-	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
